#{"t_start": 1759916674.239432, "env_id": "None"}
r,l,t
1036.827015,500,4561.204781
1000.206059,500,4562.148311
1376.67003,500,4564.693342
1117.424086,500,4565.606476
1117.542684,500,4566.516105
1376.630471,500,4567.41116
1376.694387,500,4569.967123
1376.676027,500,4570.880944
1000.142463,500,4575.417703
1000.181095,500,4576.34766
1376.694775,500,4579.094558
1376.585737,500,4580.001889
1376.69292,500,4580.893533
1117.572642,500,4581.791661
1117.493967,500,4584.291898
1376.689633,500,4585.201461
1036.838675,500,4586.096416
1117.507456,500,4586.996092
1117.559795,500,4589.53982
1000.180026,500,4590.455897
1036.83965,500,4591.387096
1376.667248,500,4592.307964
1117.549705,500,4593.194017
1117.544396,500,4595.708463
1036.839071,500,4596.595437
1117.452543,500,4597.500729
1000.215215,500,4598.395767
1117.603058,500,4600.897482
1000.200574,500,4601.802811
1036.833677,500,4602.730096
1036.841964,500,4603.62014
1036.804763,500,4606.115874
1000.185408,500,4606.997251
1000.217719,500,4611.486993
1376.676705,500,4612.382688
1117.571007,500,4614.881453
1376.602065,500,4615.777984
1036.841702,500,4616.680063
1117.373518,500,4617.573112
1036.174286,500,4620.108061
1036.337637,500,4621.0338
1000.168357,500,4621.934463
1117.546156,500,4622.833611
1036.172199,500,4625.321516
1117.580926,500,4626.212041
1036.836742,500,4627.111057
1376.630669,500,4627.997441
1376.694448,500,4630.499302
1376.685966,500,4631.416005
1117.357893,500,4632.325195
1117.568318,500,4633.216167
1117.525298,500,4635.746252
1376.651455,500,4636.630595
1376.691766,500,4637.546524
1376.632658,500,4638.456217
1000.190623,500,4640.944802
1000.035369,500,4641.834193
1117.520419,500,4642.740083
1376.685863,500,4647.213883
1376.69157,500,4649.835928
1000.136784,500,4650.728603
1036.689635,500,4651.640225
1000.160609,500,4652.535336
1117.503129,500,4653.467558
1376.69937,500,4656.369867
1376.680621,500,4657.288008
1036.766615,500,4658.188003
1376.699256,500,4659.101494
1117.5404,500,4661.973884
1117.529143,500,4662.877321
1000.180557,500,4663.761053
1036.819746,500,4664.655234
1000.190068,500,4667.259173
1117.473163,500,4668.166129
1000.199274,500,4669.059108
1000.205745,500,4669.986669
1376.661532,500,4672.596618
1036.787474,500,4673.484897
1000.208183,500,4674.364105
1036.444701,500,4675.256559
1036.810862,500,4678.002841
1036.812179,500,4678.893472
1000.221032,500,4683.398725
1000.191878,500,4684.294158
1000.223588,500,4686.911859
1117.52556,500,4687.824033
1036.693209,500,4688.718385
1117.412331,500,4689.621846
1036.716312,500,4692.525101
1036.817867,500,4693.425671
1000.222025,500,4694.326534
1036.615022,500,4695.227633
1036.821298,500,4698.148875
1000.22241,500,4699.060066
1000.221234,500,4699.995169
1117.585193,500,4700.937732
1376.663067,500,4703.826374
1117.57789,500,4704.732015
1036.800924,500,4705.642905
1376.614331,500,4706.553018
1036.827368,500,4709.058433
1036.058098,500,4709.978171
1000.207795,500,4710.881426
1036.830139,500,4711.795414
1000.219481,500,4714.34566
1117.548042,500,4718.553365
1036.837666,500,4719.463096
1376.689774,500,4720.361499
1376.680235,500,4721.251502
1000.227758,500,4723.793836
1000.222342,500,4724.721749
1036.832482,500,4725.630531
1036.411067,500,4726.549292
1117.53176,500,4729.108328
1000.218359,500,4730.008452
1376.699029,500,4730.925659
1117.437162,500,4731.855472
1000.197476,500,4734.436735
1036.576791,500,4735.390057
1036.333689,500,4736.357354
1036.533374,500,4737.254885
1000.200942,500,4740.12812
1036.752265,500,4741.016886
1376.692297,500,4741.930203
1376.609749,500,4742.826242
1117.482735,500,4746.018836
1117.513362,500,4746.914414
1376.680455,500,4747.824028
1036.829711,500,4748.732679
1000.228813,500,4754.700382
1000.222158,500,4755.591598
1000.22188,500,4756.495618
1376.687072,500,4757.392851
1376.692696,500,4759.946297
1036.764602,500,4760.852493
1000.223068,500,4761.766114
1117.48206,500,4762.644559
1117.594852,500,4765.174566
1117.577327,500,4766.076146
1376.68922,500,4766.983002
1117.422543,500,4767.886299
1036.574347,500,4770.437495
1036.816242,500,4771.359802
1000.195821,500,4772.271298
1036.398305,500,4773.16251
1376.688154,500,4775.771378
1036.814176,500,4776.664044
1376.586939,500,4777.56581
1376.692781,500,4778.446724
1376.60147,500,4779.337255
1117.48846,500,4781.862661
1000.234927,500,4782.754978
1117.50204,500,4783.63731
1117.488272,500,4784.528263
1036.746043,500,4790.655726
1000.180246,500,4791.549705
1000.210912,500,4792.440934
1036.818223,500,4793.32987
1376.617692,500,4795.850699
1376.699538,500,4796.749219
1376.701408,500,4797.638987
1036.827147,500,4798.541187
1000.180877,500,4801.114503
1000.193227,500,4802.030466
1000.191901,500,4802.914646
1036.731423,500,4803.822524
1376.666125,500,4806.384835
1117.293951,500,4807.290219
1117.29197,500,4808.172634
